3000 3
 -783     1.02e+03 -0.125  
 -783     1.04e+03 -0.115  
 -783     1.07e+03 -0.125  
 -758     992      -0.115  
 -758     1.02e+03 -0.075  
 -758     1.04e+03 -0.075  
 -758     1.07e+03 -0.085  
 -758     1.09e+03 -0.105  
 -733     917      -0.105  
 -733     942      -0.085  
 -733     967      -0.085  
 -733     992      -0.065  
 -733     1.02e+03 -0.045  
 -733     1.04e+03 -0.045  
 -733     1.07e+03 -0.055  
 -733     1.09e+03 -0.085  
 -733     1.12e+03 -0.115  
 -708     842      -0.105  
 -708     867      -0.085  
 -708     892      -0.065  
 -708     917      -0.055  
 -708     942      -0.035  
 -708     967      -0.025  
 -708     992      -0.025  
 -708     1.02e+03 -0.015  
 -708     1.04e+03 -0.025  
 -708     1.07e+03 -0.045  
 -708     1.09e+03 -0.065  
 -708     1.12e+03 -0.095  
 -683     767      -0.115  
 -683     792      -0.095  
 -683     817      -0.075  
 -683     842      -0.055  
 -683     867      -0.045  
 -683     892      -0.025  
 -683     917      -0.025  
 -683     942      -0.015  
 -683     967      -0.005  
 -683     992      -0.005  
 -683     1.02e+03 -0.005  
 -683     1.04e+03 -0.015  
 -683     1.07e+03 -0.035  
 -683     1.09e+03 -0.065  
 -683     1.12e+03 -0.095  
 -658     692      -0.125  
 -658     717      -0.095  
 -658     742      -0.075  
 -658     767      -0.065  
 -658     792      -0.045  
 -658     817      -0.035  
 -658     842      -0.025  
 -658     867      -0.015  
 -658     892      -0.015  
 -658     917      -0.005  
 -658     942      -0.005  
 -658     967      -0.005  
 -658     992      -0.005  
 -658     1.02e+03 -0.015  
 -658     1.04e+03 -0.025  
 -658     1.07e+03 -0.045  
 -658     1.09e+03 -0.075  
 -658     1.12e+03 -0.105  
 -658     1.14e+03 -0.105  
 -658     1.17e+03 -0.095  
 -658     1.19e+03 -0.095  
 -658     1.22e+03 -0.115  
 -633     617      -0.125  
 -633     642      -0.105  
 -633     667      -0.085  
 -633     692      -0.065  
 -633     717      -0.055  
 -633     742      -0.035  
 -633     767      -0.025  
 -633     792      -0.015  
 -633     817      -0.015  
 -633     842      -0.005  
 -633     867      -0.005  
 -633     892      -0.005  
 -633     917      -0.005  
 -633     942      -0.005  
 -633     967      -0.015  
 -633     992      -0.025  
 -633     1.02e+03 -0.045  
 -633     1.04e+03 -0.055  
 -633     1.07e+03 -0.055  
