1500 3
 -253     -3       -0.115  
 -253     22       -0.105  
 -253     47       -0.115  
 -253     72       -0.125  
 -228     -28      -0.105  
 -228     -3       -0.085  
 -228     22       -0.075  
 -228     47       -0.075  
 -228     72       -0.095  
 -228     97       -0.125  
 -203     -178     -0.125  
 -203     -153     -0.125  
 -203     -128     -0.125  
 -203     -78      -0.125  
 -203     -53      -0.115  
 -203     -28      -0.075  
 -203     -3       -0.055  
 -203     22       -0.045  
 -203     47       -0.055  
 -203     72       -0.065  
 -203     97       -0.095  
 -178     -203     -0.105  
 -178     -178     -0.095  
 -178     -153     -0.095  
 -178     -128     -0.095  
 -178     -103     -0.105  
 -178     -78      -0.095  
 -178     -53      -0.085  
 -178     -28      -0.055  
 -178     -3       -0.035  
 -178     22       -0.025  
 -178     47       -0.035  
 -178     72       -0.045  
 -178     97       -0.085  
 -178     122      -0.105  
 -178     147      -0.115  
 -153     -228     -0.105  
 -153     -203     -0.085  
 -153     -178     -0.065  
 -153     -153     -0.065  
 -153     -128     -0.065  
 -153     -103     -0.075  
 -153     -78      -0.075  
 -153     -53      -0.065  
 -153     -28      -0.045  
 -153     -3       -0.025  
 -153     22       -0.015  
 -153     47       -0.015  
 -153     72       -0.035  
 -153     97       -0.065  
 -153     122      -0.075  
 -153     147      -0.095  
 -153     172      -0.115  
 -128     -578     -0.125  
 -128     -553     -0.105  
 -128     -528     -0.105  
 -128     -503     -0.105  
 -128     -478     -0.115  
 -128     -253     -0.125  
 -128     -228     -0.085  
 -128     -203     -0.065  
 -128     -178     -0.045  
 -128     -153     -0.035  
 -128     -128     -0.045  
 -128     -103     -0.055  
 -128     -78      -0.055  
 -128     -53      -0.045  
 -128     -28      -0.035  
 -128     -3       -0.025  
 -128     22       -0.015  
 -128     47       -0.015  
 -128     72       -0.035  
 -128     97       -0.045  
 -128     122      -0.055  
 -128     147      -0.075  
 -128     172      -0.105  
 -128     197      -0.125  
 -103     -778     -0.125  
 -103     -753     -0.105  
 -103     -728     -0.105  
 -103     -703     -0.115  
 -103     -678     -0.125  
 -103     -653     -0.125  
 -103     -628     -0.115  
 -103     -603     -0.105  
 -103     -578     -0.085  
 -103     -553     -0.075  
 -103     -528     -0.075  
 -103     -503     -0.075  
 -103     -478     -0.085  
 -103     -453     -0.095  
 -103     -428     -0.105  
 -103     -403     -0.115  
 -103     -378     -0.115  
 -103     -353     -0.115  
 -103     -328     -0.115  
 -103     -303     -0.115  
 -103     -278     -0.105  
 -103     -253     -0.105  
 -103     -228     -0.075  
 -103     -203     -0.045  
 -103     -178     -0.025  
 -103     -153     -0.025  
 -103     -128     -0.025  
 -103     -103     -0.035  
 -103     -78      -0.035  
 -103     -53      -0.025  
 -103     -28      -0.025  
 -103     -3       -0.015  
 -103     22       -0.005  
 -103     47       -0.005  
 -103     72       -0.015  
 -103     97       -0.035  
 -103     122      -0.045  
 -103     147      -0.065  
 -103     172      -0.095  
 -103     197      -0.115  
 -78      -1.3e+03 -0.125  
 -78      -828     -0.105  
 -78      -803     -0.085  
 -78      -778     -0.075  
 -78      -753     -0.075  
 -78      -728     -0.065  
 -78      -703     -0.075  
 -78      -678     -0.075  
 -78      -653     -0.075  
 -78      -628     -0.075  
 -78      -603     -0.065  
 -78      -578     -0.055  
 -78      -553     -0.055  
 -78      -528     -0.045  
 -78      -503     -0.055  
 -78      -478     -0.055  
 -78      -453     -0.065  
 -78      -428     -0.065  
 -78      -403     -0.065  
 -78      -378     -0.065  
 -78      -353     -0.065  
 -78      -328     -0.065  
 -78      -303     -0.065  
 -78      -278     -0.065  
 -78      -253     -0.065  
 -78      -228     -0.065  
 -78      -203     -0.035  
 -78      -178     -0.015  
 -78      -153     -0.015  
 -78      -128     -0.015  
 -78      -103     -0.025  
 -78      -78      -0.015  
 -78      -53      -0.015  
 -78      -28      -0.015  
 -78      -3       -0.005  
 -78      22       -0.005  
 -78      47       -0.005  
 -78      72       -0.015  
 -78      97       -0.025  
 -78      122      -0.045  
 -78      147      -0.065  
 -78      172      -0.085  
 -78      197      -0.115  
 -53      -1.3e+03 -0.065  
 -53      -1.28e+03 -0.065  
 -53      -1.25e+03 -0.075  
 -53      -1.23e+03 -0.075  
 -53      -1.2e+03 -0.085  
 -53      -1.18e+03 -0.085  
 -53      -1.15e+03 -0.085  
 -53      -1.13e+03 -0.095  
 -53      -1.1e+03 -0.095  
 -53      -1.08e+03 -0.095  
 -53      -1.05e+03 -0.095  
 -53      -1.03e+03 -0.105  
 -53      -1e+03   -0.125  
 -53      -878     -0.105  
 -53      -853     -0.095  
 -53      -828     -0.065  
 -53      -803     -0.055  
 -53      -778     -0.045  
 -53      -753     -0.045  
 -53      -728     -0.045  
 -53      -703     -0.045  
 -53      -678     -0.045  
 -53      -653     -0.045  
 -53      -628     -0.045  
 -53      -603     -0.035  
 -53      -578     -0.035  
 -53      -553     -0.035  
 -53      -528     -0.035  
 -53      -503     -0.035  
 -53      -478     -0.035  
 -53      -453     -0.035  
 -53      -428     -0.035  
 -53      -403     -0.035  
 -53      -378     -0.035  
 -53      -353     -0.035  
 -53      -328     -0.035  
 -53      -303     -0.035  
 -53      -278     -0.035  
 -53      -253     -0.035  
 -53      -228     -0.035  
 -53      -203     -0.035  
 -53      -178     -0.015  
 -53      -153     -0.015  
 -53      -128     -0.015  
 -53      -103     -0.025  
 -53      -78      -0.015  
 -53      -53      -0.005  
 -53      -28      -0.005  
 -53      -3       -0.005  
 -53      22       -0.005  
 -53      47       -0.005  
 -53      72       -0.015  
 -53      97       -0.025  
 -53      122      -0.035  
 -53      147      -0.055  
 -53      172      -0.085  
