3000 3
 203      -153     -0.015  
 203      -128     -0.005  
 203      -103     -0.005  
 203      -78      -0.005  
 203      -53      -0.005  
 203      -28      -0.015  
 203      -3       -0.025  
 203      22       -0.035  
 203      47       -0.025  
 203      72       -0.015  
 203      97       -0.015  
 203      122      -0.005  
 203      147      -0.005  
 203      172      -0.005  
 203      197      -0.005  
 203      222      -0.015  
 203      247      -0.025  
 203      272      -0.015  
 203      297      -0.005  
 203      322      -0.015  
 203      347      -0.035  
 203      372      -0.045  
 203      397      -0.045  
 203      422      -0.045  
 203      447      -0.065  
 203      472      -0.045  
 203      497      -0.045  
 203      522      -0.065  
 203      547      -0.085  
 203      572      -0.125  
 228      -253     -0.125  
 228      -228     -0.085  
 228      -203     -0.045  
 228      -178     -0.035  
 228      -153     -0.005  
 228      -128     -0.015  
 228      -103     -0.005  
 228      -78      -0.005  
 228      -53      -0.015  
 228      -28      -0.025  
 228      -3       -0.035  
 228      22       -0.055  
 228      47       -0.045  
 228      72       -0.035  
 228      97       -0.025  
 228      122      -0.015  
 228      147      -0.005  
 228      172      -0.005  
 228      197      -0.035  
 228      222      -0.005  
 228      247      -0.005  
 228      272      -0.005  
 228      297      -0.005  
 228      322      -0.015  
 228      347      -0.015  
 228      372      -0.025  
 228      397      -0.045  
 228      422      -0.075  
 228      447      -0.105  
 228      472      -0.095  
 228      497      -0.085  
 228      522      -0.095  
 228      547      -0.115  
 253      -253     -0.095  
 253      -228     -0.055  
 253      -203     -0.035  
 253      -178     -0.015  
 253      -153     -0.005  
 253      -128     -0.005  
 253      -103     -0.025  
 253      -78      -0.025  
 253      -53      -0.025  
 253      -28      -0.035  
 253      -3       -0.055  
 253      22       -0.085  
 253      47       -0.065  
 253      72       -0.055  
 253      97       -0.035  
 253      122      -0.025  
 253      147      -0.015  
 253      172      -0.015  
 253      197      -0.005  
 253      222      -0.005  
 253      247      -0.005  
 253      272      -0.005  
 253      297      -0.005  
 253      322      -0.005  
 253      347      -0.005  
 253      372      -0.025  
 253      397      -0.045  
 253      422      -0.065  
 253      447      -0.105  
 278      -253     -0.085  
 278      -228     -0.055  
 278      -203     -0.035  
 278      -178     -0.015  
 278      -153     -0.015  
 278      -128     -0.035  
 278      -103     -0.045  
 278      -78      -0.035  
 278      -53      -0.035  
 278      -28      -0.045  
